country,year,conflict_incidence,conflict_intensity
BIH,1996,1,1
SLB,1995,1,1
BGR,1995,1,1
BGR,1996,1,2
BGR,1997,1,1
BGR,1998,1,1
BGR,1999,1,2
BGR,2000,1,2
BGR,2001,1,2
BGR,2002,1,2
BGR,2003,1,2
BGR,2004,1,2
BGR,2005,1,2
BGR,2006,1,1
BGR,2007,1,1
BGR,2008,1,1
BGR,2009,1,1
BGR,2010,1,1
BGR,2011,1,1
BGR,2012,1,1
BGR,2013,1,1
BGR,2014,1,1
BGR,2015,1,1
BGR,2016,1,1
BGR,2018,1,1
BGR,2019,1,1
BGR,2020,1,1
BGR,2021,1,1
BGR,2022,1,1
BGR,2023,1,1
BGR,2024,1,1
HKG,1995,1,2
IRL,2004,1,1
IRL,2008,1,1
KEN,1998,1,1
KEN,1999,1,1
LBY,2022,1,1
LBY,2023,1,1
LBY,2024,1,1
LIE,2000,1,1
LIE,2001,1,1
MDG,2000,1,1
MDG,2001,1,1
MDG,2002,1,1
MDG,2003,1,2
MEX,1997,1,2
MEX,1998,1,2
MEX,1999,1,1
MEX,2002,1,1
MEX,2016,1,1
MSR,1995,1,1
MSR,1996,1,2
MSR,1997,1,1
MSR,1998,1,1
MSR,1999,1,1
MSR,2000,1,1
MSR,2001,1,1
MSR,2002,1,2
MSR,2003,1,1
MSR,2004,1,2
MSR,2005,1,1
MSR,2006,1,1
MSR,2007,1,1
MSR,2008,1,1
MSR,2009,1,1
MSR,2010,1,1
MSR,2011,1,1
MSR,2013,1,1
MSR,2014,1,1
MSR,2015,1,1
MSR,2016,1,1
MSR,2017,1,1
MSR,2022,1,1
NAM,1995,1,1
NAM,1996,1,1
NAM,1997,1,2
NAM,1998,1,1
NAM,1999,1,1
NAM,2000,1,2
NAM,2001,1,2
NAM,2002,1,2
NAM,2003,1,1
NAM,2004,1,1
NAM,2005,1,1
NAM,2006,1,1
NAM,2008,1,1
NAM,2014,1,1
NAM,2015,1,1
NAM,2019,1,1
NAM,2020,1,1
NAM,2021,1,1
NAM,2022,1,1
NAM,2023,1,1
NAM,2024,1,1
NRU,1995,1,1
NRU,1996,1,1
NRU,2001,1,1
NRU,2002,1,1
NRU,2006,1,1
NRU,2007,1,2
NRU,2008,1,2
NRU,2009,1,2
NRU,2010,1,2
NRU,2011,1,2
NRU,2012,1,2
NRU,2013,1,1
NRU,2014,1,2
NRU,2015,1,2
NRU,2016,1,2
NRU,2017,1,2
NRU,2018,1,2
NRU,2019,1,2
NRU,2020,1,2
NRU,2021,1,2
NRU,2022,1,2
NRU,2023,1,2
NRU,2024,1,2
CUW,1997,1,1
CUW,1998,1,2
CUW,1999,1,2
CUW,2000,1,2
CUW,2003,1,1
CUW,2008,1,1
CUW,2016,1,1
NCL,1995,1,1
NCL,1996,1,1
NCL,1997,1,1
NCL,1998,1,2
NCL,1999,1,2
NCL,2000,1,2
NCL,2001,1,2
NCL,2002,1,1
NCL,2003,1,1
NCL,2004,1,1
NCL,2007,1,1
NCL,2009,1,1
NCL,2016,1,1
NCL,2017,1,1
NCL,2019,1,1
NCL,2020,1,1
NCL,2022,1,1
NCL,2024,1,1
NIU,1998,1,1
UMI,1997,1,1
POL,2013,1,1
POL,2014,1,1
POL,2015,1,1
POL,2016,1,1
PRT,2011,1,2
PRT,2013,1,1
PRT,2014,1,1
PRT,2015,1,1
PRT,2016,1,2
PRT,2017,1,1
PRT,2018,1,1
PRT,2019,1,2
PRT,2020,1,1
TLS,2011,1,1
TLS,2012,1,1
TLS,2013,1,1
TLS,2014,1,2
TLS,2015,1,1
TLS,2016,1,1
TLS,2017,1,1
TLS,2018,1,1
TLS,2019,1,1
TLS,2020,1,1
TLS,2021,1,1
PRI,1996,1,1
PRI,1997,1,1
PRI,1999,1,1
PRI,2000,1,1
PRI,2001,1,1
PRI,2005,1,1
PRI,2006,1,1
PRI,2007,1,1
PRI,2008,1,1
PRI,2009,1,1
PRI,2010,1,1
PRI,2011,1,1
PRI,2016,1,1
PRI,2017,1,1
PRI,2018,1,1
PRI,2019,1,1
PRI,2020,1,1
PRI,2021,1,1
PRI,2022,1,1
PRI,2023,1,1
PRI,2024,1,1
BLM,2011,1,2
BLM,2012,1,2
BLM,2013,1,2
BLM,2014,1,2
BLM,2015,1,2
BLM,2016,1,2
BLM,2017,1,2
BLM,2018,1,2
BLM,2019,1,2
BLM,2020,1,2
BLM,2021,1,1
BLM,2022,1,1
BLM,2023,1,2
BLM,2024,1,2
AIA,2014,1,1
AIA,2015,1,1
AIA,2017,1,1
MAF,2016,1,1
SPM,1995,1,1
SPM,1996,1,1
SPM,1997,1,1
SPM,1998,1,1
SPM,1999,1,1
SPM,2000,1,1
SPM,2001,1,1
SPM,2002,1,1
SPM,2003,1,1
SPM,2004,1,1
SPM,2005,1,1
SPM,2006,1,2
SPM,2007,1,1
SPM,2008,1,1
SPM,2009,1,1
SPM,2010,1,1
SPM,2011,1,1
SPM,2012,1,1
SPM,2014,1,2
SPM,2018,1,1
SPM,2019,1,1
SPM,2020,1,1
SPM,2021,1,1
SPM,2022,1,1
SPM,2023,1,2
SPM,2024,1,2
STP,2009,1,1
STP,2010,1,1
STP,2011,1,2
STP,2012,1,2
STP,2013,1,1
STP,2014,1,2
STP,2015,1,2
STP,2016,1,2
STP,2017,1,2
STP,2018,1,2
STP,2019,1,2
STP,2020,1,2
STP,2021,1,2
STP,2022,1,2
STP,2023,1,1
STP,2024,1,1
SGP,1995,1,1
SGP,1996,1,2
SGP,1997,1,1
SGP,1998,1,1
SGP,2000,1,1
SGP,2010,1,1
SGP,2011,1,1
SGP,2018,1,1
SGP,2019,1,1
SGP,2021,1,1
SGP,2022,1,1
SVK,2021,1,1
SVK,2022,1,1
VNM,1999,1,1
VNM,2000,1,1
VNM,2004,1,1
ZAF,2008,1,1
ZAF,2020,1,1
TTO,1995,1,2
TTO,1996,1,2
TTO,1997,1,2
TTO,1998,1,2
TTO,1999,1,2
TTO,2000,1,2
TTO,2001,1,2
TTO,2003,1,1
TTO,2005,1,1
TTO,2006,1,2
TTO,2007,1,2
TTO,2008,1,2
TTO,2009,1,2
UGA,2003,1,1
UGA,2004,1,1
UGA,2005,1,1
UGA,2006,1,1
UGA,2007,1,1
UGA,2008,1,1
UGA,2009,1,1
UGA,2010,1,1
UGA,2011,1,1
UGA,2012,1,1
UGA,2013,1,1
UGA,2014,1,1
UGA,2015,1,1
UGA,2016,1,1
UGA,2017,1,1
UGA,2018,1,1
UGA,2019,1,1
UGA,2020,1,1
UGA,2021,1,1
UGA,2022,1,1
UGA,2023,1,1
UGA,2024,1,1
USA,1995,1,1
USA,1996,1,1
USA,1997,1,1
USA,1998,1,1
USA,1999,1,1
USA,2000,1,2
USA,2001,1,1
USA,2002,1,1
USA,2003,1,1
USA,2004,1,1
USA,2005,1,1
USA,2006,1,1
USA,2007,1,1
USA,2008,1,1
USA,2009,1,1
USA,2010,1,1
USA,2011,1,1
USA,2012,1,1
USA,2013,1,1
USA,2014,1,1
USA,2015,1,1
USA,2016,1,1
USA,2017,1,2
USA,2018,1,1
USA,2019,1,1
USA,2020,1,1
USA,2021,1,1
USA,2022,1,1
USA,2023,1,1
USA,2024,1,1
VIR,1997,1,1
VIR,1998,1,1
VIR,1999,1,1
VIR,2000,1,1
VIR,2001,1,1
VIR,2002,1,1
VIR,2003,1,1
VIR,2004,1,1
VIR,2005,1,1
VIR,2018,1,1
VIR,2019,1,1
VIR,2020,1,1
VIR,2021,1,1
VIR,2022,1,1
VIR,2023,1,1
VIR,2024,1,1
